,antecedents,consequents,antecedent support,consequent support,support,confidence,Lift
0,"('Team leader ',)","('Gender ',)",0.5112781954887218,0.48621553884711777,0.2581453634085213,0.5049019607843137,1.0384323832625835
1,"('Team leader ',)","('Communicative ',)",0.5112781954887218,0.5238095238095238,0.3007518796992481,0.5882352941176471,1.122994652406417
2,"('Team leader ',)","('Age ',)",0.5112781954887218,0.5268008731506185,0.26655348047538197,0.52134724857685,0.989647654641967
3,"('Team leader ',)","('Fast working',)",0.5112781954887218,0.506265664160401,0.2606516290726817,0.5098039215686274,1.0069889341875364
4,"('Team leader ',)","('Awards',)",0.5112781954887218,0.5025062656641605,0.2593984962406015,0.5073529411764707,1.0096450051342234
5,"('Gender ',)","('Team leader ',)",0.48621553884711777,0.5112781954887218,0.2581453634085213,0.5309278350515464,1.0384323832625835
6,"('Gender ',)","('Age ',)",0.48621553884711777,0.5268008731506185,0.2563262996200178,0.5271865646824078,1.0007321391277932
7,"('Gender ',)","('Awards',)",0.48621553884711777,0.5025062656641605,0.2543859649122807,0.5231958762886598,1.0411728410931433
8,"('Time in current department ',)","('Employment period ',)",0.4237867395762132,0.491755705052104,0.25241932582652804,0.5956281833616299,1.2112278052748167
9,"('Employment period ',)","('HTML CSS Java Script ',)",0.491755705052104,0.5050125313283208,0.25946445060018464,0.5276287553648068,1.0447834907719995
10,"('Employment period ',)","('Time in current department ',)",0.491755705052104,0.4237867395762132,0.25241932582652804,0.513302282481467,1.2112278052748167
11,"('Employment period ',)","('Age ',)",0.491755705052104,0.5268008731506185,0.2706852019692695,0.5504464903779592,1.0448853037883636
12,"('Employment period ',)","('Fast working',)",0.491755705052104,0.506265664160401,0.25418810183353124,0.5168991416309013,1.021003750053117
13,"('Employment period ',)","('Awards',)",0.491755705052104,0.5025062656641605,0.25280306028228466,0.5140826180257511,1.0230372298866566
14,"('Communicative ',)","('Team leader ',)",0.5238095238095238,0.5112781954887218,0.3007518796992481,0.5741626794258372,1.122994652406417
15,"('Communicative ',)","('Age ',)",0.5238095238095238,0.5268008731506185,0.27609345945508934,0.5270875135051706,1.0005441151849992
16,"('Member of professional organizations ',)","('Communicative ',)",0.487468671679198,0.5238095238095238,0.2556390977443609,0.5244215938303342,1.001168497312456
17,"('Member of professional organizations ',)","('Awards',)",0.487468671679198,0.5025062656641605,0.2506265664160401,0.5141388174807198,1.023149068203527
18,"('Fast working',)","('Team leader ',)",0.506265664160401,0.5112781954887218,0.2606516290726817,0.5148514851485149,1.0069889341875364
19,"('Fast working',)","('Employment period ',)",0.506265664160401,0.491755705052104,0.25418810183353124,0.5020844189682128,1.021003750053117
20,"('Fast working',)","('Communicative ',)",0.506265664160401,0.5238095238095238,0.2568922305764411,0.5074257425742574,0.9687218721872187
21,"('Fast working',)","('PHP mySQL ',)",0.506265664160401,0.4774436090225564,0.2556390977443609,0.504950495049505,1.057612847898963
22,"('Fast working',)","('Age ',)",0.506265664160401,0.5268008731506185,0.271970248201148,0.537208559565634,1.0197563955290556
23,"('PHP mySQL ',)","('Communicative ',)",0.4774436090225564,0.5238095238095238,0.2518796992481203,0.5275590551181103,1.0071581961345741
24,"('PHP mySQL ',)","('Age ',)",0.4774436090225564,0.5268008731506185,0.2528094429622443,0.529506392346118,1.0051357530584917
25,"('PHP mySQL ',)","('Fast working',)",0.4774436090225564,0.506265664160401,0.2556390977443609,0.5354330708661417,1.057612847898963
26,"('Age ',)","('Team leader ',)",0.5268008731506185,0.5112781954887218,0.26655348047538197,0.5059852670349907,0.989647654641967
27,"('Age ',)","('Employment period ',)",0.5268008731506185,0.491755705052104,0.2706852019692695,0.5138283092630286,1.0448853037883636
28,"('Age ',)","('Communicative ',)",0.5268008731506185,0.5238095238095238,0.27609345945508934,0.5240945365254758,1.0005441151849992
29,"('Age ',)","('Fast working',)",0.5268008731506185,0.506265664160401,0.271970248201148,0.5162676488643339,1.0197563955290556
30,"('Age ',)","('Awards',)",0.5268008731506185,0.5025062656641605,0.2707171153690678,0.5138888888888887,1.02265170407315
31,"('HTML CSS Java Script ',)","('Employment period ',)",0.5050125313283208,0.491755705052104,0.25946445060018464,0.513778242131383,1.0447834907719995
32,"('HTML CSS Java Script ',)","('Communicative ',)",0.5050125313283208,0.5238095238095238,0.2606516290726817,0.5161290322580645,0.9853372434017594
33,"('HTML CSS Java Script ',)","('Age ',)",0.5050125313283208,0.5268008731506185,0.2621068801034845,0.5190106459617385,0.9852121976520477
34,"('HTML CSS Java Script ',)","('Fast working',)",0.5050125313283208,0.506265664160401,0.2531328320802005,0.5012406947890818,0.9900744416873448
35,"('Awards',)","('Gender ',)",0.5025062656641605,0.48621553884711777,0.2543859649122807,0.5062344139650873,1.0411728410931433
36,"('Awards',)","('Team leader ',)",0.5025062656641605,0.5112781954887218,0.2593984962406015,0.5162094763092269,1.0096450051342234
37,"('Awards',)","('Employment period ',)",0.5025062656641605,0.491755705052104,0.25280306028228466,0.5030843942774642,1.0230372298866566
38,"('Awards',)","('Communicative ',)",0.5025062656641605,0.5238095238095238,0.2556390977443609,0.5087281795511222,0.9712083427794149
39,"('Awards',)","('Age ',)",0.5025062656641605,0.5268008731506185,0.2707171153690678,0.5387338106347034,1.02265170407315
40,"('Awards',)","('Fast working',)",0.5025062656641605,0.506265664160401,0.2518796992481203,0.5012468827930174,0.9900866645268018
